Suffolk,884,-3706
Clifton,1137,-4009
Citrus Heights,-2068,-3404
Livermore,-2050,-3311
Tracy,-2033,-3327
Alhambra,-1683,-3149
Kirkland,-2510,-3985
Trenton,1082,-3968
Ogden,-1570,-3893
Hoover,195,-3502
Cicero,166,-4246
Fishers,284,-4081
Sugar Land,-309,-3133
Danbury,1199,-4038
Meridian,-1953,-3936
Indio,-1562,-3173
Concord,604,-3641
Menifee,-1614,-3144
Champaign,125,-4103
Buena Park,-1666,-3134
Troy,514,-4282
O'Fallon,-48,-3992
Johns Creek,360,-3547
Bellingham,-2572,-4040
Westland,493,-4261
Bloomington,243,-4016
Sioux City,-479,-4277
Warwick,1350,-4017
Hemet,-1605,-3154
Longview,-282,-3411
Farmington Hills,497,-4275
Bend,-2302,-3784
Lakewood,-1673,-3129
Merced,-1958,-3327
Mission,-407,-2784
Chino,-1655,-3155
Redwood City,-2068,-3279
Edinburg,-400,-2794
Cranston,1351,-4023
Parma,606,-4169
New Rochelle,1165,-4006
Lake Forest,-1640,-3125
Napa,-2109,-3337
Hammond,184,-4224
Fayetteville,-271,-3740
Bloomington,72,-4135
Avondale,-1334,-3246
Somerville,1391,-4063
Palm Coast,480,-3108
Bryan,-360,-3230
Gary,195,-4224
Largo,374,-2958
Brooklyn Park,-264,-4504
Tustin,-1652,-3129
Racine,167,-4319
Deerfield Beach,485,-2782
Lynchburg,729,-3801
Mountain View,-2054,-3277
Medford,-2328,-3602
Lawrence,1395,-4089
Bellflower,-1673,-3132
Melbourne,489,-2959
St. Joseph,-344,-4060
Camden,1050,-3951
St. George,-1536,-3522
Kennewick,-2239,-4017
Baldwin Park,-1674,-3153
Chino Hills,-1657,-3152
Alameda,-2081,-3300
Albany,339,-3318
Arlington Heights,150,-4267
Scranton,1043,-4082
Evanston,172,-4263
Kalamazoo,329,-4274
Baytown,-274,-3148
Upland,-1657,-3163
Springdale,-270,-3751
Bethlehem,1047,-4013
Schaumburg,142,-4263
Mount Pleasant,610,-3399
Auburn,-2497,-3961
Decatur,74,-4080
