Sandwell Smethwick West Midlands B66 UK,-1957,-4602
Doncaster South Yorkshire UK,-314,664
Stockport UK,-1,-1
Sefton Merseyside L29 UK,604,104
Kostroma Kostromskaya oblast Russia,-5952,-552
Vigo Spain,4743,4096
Aarhus Denmark,1705,1684
Brest Belarus,636,-6058
Volzhsky Volgogradskaya oblast Russia,-4491,-4482
Taganrog Rostovskaya oblast Russia,-251,-648
Białystok Poland,-661,-1595
Nottingham UK,1116,-2550
Petrozavodsk Republic of Karelia Russia,5403,-1137
Newcastle Upon Tyne Tyne and Wear UK,299,6363
Gelsenkirchen Germany,4204,4351
Bratsk Irkutsk Oblast Russia,-1282,-2338
Dzerzhinsk Nizhegorodskaya oblast Russia,-1702,1002
Surgut Khanty-Mansi Autonomous Okrug — Yugra Russia,2543,5840
Karlsruhe Germany,3041,-5239
Orsk Orenburgskaya oblast Russia,-2215,4620
Oporto Portugal,1330,1410
Alicante Spain,3400,-1774
Dneprodzerzhinsk Dnipropetrovs'ka oblast Ukraine 51900,6267,352
Wiesbaden Germany,486,-1184
Kirovohrad Kirovohrads'ka oblast Ukraine 25000,-4148,-4688
Hull Kingston Upon Hull UK,-1997,699
Novi Sad Serbia,3283,5118
Bolton UK,850,735
Angarsk Irkutsk Oblast Russia,-4555,-1103
Sterlitamak Republic of Bashkortostan Russia,-1180,805
Münster Germany,1433,6164
Gijón Spain,-2192,-1569
Ljubljana Slovenia,-2017,5219
Mönchengladbach Germany,4985,802
Chemnitz Germany,3185,1180
Messina Italy,-2981,458
Walsall West Midlands UK,-1867,-4271
Chernovtsy Chernivets'ka oblast Ukraine 58000,-4072,-4214
Khmelnitsky Khmel'nyts'ka oblast Ukraine 29000,1330,-4564
Malmö Sweden,-4672,-2185
Częstochowa Poland,3220,887
Plymouth UK,-368,567
Hospitalet de Llobregat Spain,1594,-2727
Rotherham South Yorkshire UK,-33,159
Augsburg Germany,586,6012
Stoke-on-Trent UK,-1433,-2056
Halle Germany,4935,-3359
Verona Province of Verona Italy,-24,-6329
Gdynia Poland,-5423,1791
Strasbourg France,-670,-6295
Ploiesti Romania,3250,4072
Niš Serbia,3903,-371
Yoshkar-Ola Mari El Republic Russia,-396,-364
Braunschweig Germany,-2613,-5160
Nantes France,-10,600
Wolverhampton West Midlands UK,-2466,-3951
Rivne Rivnens'ka oblast Ukraine 33004,965,1989
Tirana Albania,-1688,-2445
Aachen Germany,3047,-557
Sosnowiec Poland,128,33
Granada Spain,2854,-1401
Kosice Slovakia,4731,-4263
Krefeld Germany,5345,1666
Rybinsk Yaroslavskaya oblast Russia,2687,5759
Corunna Spain,1886,3133
Kremenchuk Poltavs'ka oblast Ukraine 39600,2438,-5413
Nizhnevartovsk Khanty-Mansi Autonomous Okrug — Yugra Russia,-2435,-5563
Graz Austria,-326,89
Prokopyevsk Kemerovo Oblast Russia,-926,2769
Severodvinsk Arkhangelsk Oblast Russia,-3445,5257
South Gloucestershire UK,-4699,-3853
Magdeburg Germany,3608,-4914
Ivano-Frankivs'k Ivano-Frankivs'ka oblast Ukraine 76000,-5662,2539
Kiel Germany,3872,3248
Braila Romania,-5811,1905
